fips_10,date,count
CI,20140707,120
CI,20140708,171
CI,20140709,128
CI,20140710,172
CI,20140711,185
CI,20140712,131
CI,20140713,121
CI,20140714,278
CI,20140715,265
CI,20140716,167
CI,20140717,202
CI,20140718,166
CI,20140719,73
CI,20140720,75
CI,20140721,99
CI,20140722,149
CI,20140723,167
CI,20140724,120
CI,20140725,125
CI,20140726,89
CI,20140727,78
CI,20140728,136
CI,20140729,162
CI,20140730,259
CI,20140731,272
CJ,20140701,44
CJ,20140702,21
CJ,20140703,21
CJ,20140704,10
CJ,20140705,4
CJ,20140706,5
CJ,20140707,9
CJ,20140708,22
CJ,20140709,13
CJ,20140710,25
CJ,20140711,18
CJ,20140713,6
CJ,20140714,45
CJ,20140715,46
CJ,20140716,32
CJ,20140717,34
CJ,20140718,91
CJ,20140719,2
CJ,20140720,1
CJ,20140721,36
CJ,20140722,9
CJ,20140723,18
CJ,20140724,44
CJ,20140725,8
CJ,20140726,1
CJ,20140727,10
CJ,20140728,15
CJ,20140729,47
CJ,20140730,29
CJ,20140731,25
CM,20140701,68
CM,20140702,95
CM,20140703,16
CM,20140704,18
CM,20140705,31
CM,20140706,24
CM,20140707,105
CM,20140708,81
CM,20140709,62
CM,20140710,64
CM,20140711,99
CM,20140712,144
CM,20140713,19
CM,20140714,92
CM,20140715,112
CM,20140716,76
CM,20140717,59
CM,20140718,79
CM,20140719,44
CM,20140720,73
CM,20140721,140
CM,20140722,128
CM,20140723,117
CM,20140724,93
CM,20140725,105
CM,20140726,79
CM,20140727,400
CM,20140728,477
CM,20140729,203
CM,20140730,118
CM,20140731,102
CN,20140703,4
CN,20140704,4
CN,20140706,3
CN,20140707,7
CN,20140708,22
CN,20140709,9
CN,20140710,1
CN,20140717,1
CN,20140723,3
CN,20140724,11
CN,20140725,15
CN,20140726,4
CN,20140727,2
CN,20140729,1
CN,20140730,3
CN,20140731,20
CO,20140701,210
CO,20140702,231
CO,20140703,122
CO,20140704,68
CO,20140705,74
CO,20140706,45
CO,20140707,199
CO,20140708,207
CO,20140709,180
CO,20140710,86
CO,20140711,298
CO,20140712,75
CO,20140713,60
CO,20140714,153
CO,20140715,153
CO,20140716,207
CO,20140717,239
CO,20140718,151
CO,20140719,171
CO,20140720,82
CO,20140721,264
CO,20140722,214
CO,20140723,308
CO,20140724,349
CO,20140725,295
CO,20140726,101
CO,20140727,97
CO,20140728,306
CO,20140729,323
CO,20140730,229
CO,20140731,194
CQ,20140701,448
CQ,20140702,363
CQ,20140703,356
CQ,20140704,285
CQ,20140705,280
CQ,20140706,272
CQ,20140707,509
CQ,20140708,366
CQ,20140709,377
CQ,20140710,372
CQ,20140711,950
CQ,20140712,207
CQ,20140713,236
CQ,20140714,388
CQ,20140715,609
CQ,20140716,411
CQ,20140717,415
CQ,20140718,268
CQ,20140719,256
CQ,20140720,243
CQ,20140721,378
CQ,20140722,349
CQ,20140723,478
CQ,20140724,406
CQ,20140725,304
CQ,20140726,244
CQ,20140727,229
CQ,20140728,303
CQ,20140729,312
CQ,20140730,295
CQ,20140731,362
CS,20140701,44
CS,20140702,52
CS,20140703,27
CS,20140704,27
CS,20140705,21
CS,20140706,39
CS,20140707,47
CS,20140708,49
CS,20140709,106
CS,20140710,72
CS,20140711,59
CS,20140712,19
CS,20140713,21
CS,20140714,26
CS,20140715,32
CS,20140716,43
CS,20140717,30
CS,20140718,73
CS,20140719,16
CS,20140720,14
CS,20140721,33
CS,20140722,42
CS,20140723,64
CS,20140724,39
CS,20140725,21
CS,20140726,20
CS,20140727,21
CS,20140728,117
CS,20140729,83
CS,20140730,112
CS,20140731,78
CT,20140701,97
CT,20140702,56
CT,20140703,62
CT,20140704,76
CT,20140705,30
CT,20140706,41
CT,20140707,115
CT,20140708,277
CT,20140709,146
CT,20140710,183
CT,20140711,135
CT,20140712,80
CT,20140713,61
CT,20140714,63
CT,20140715,58
CT,20140716,79
CT,20140717,78
CT,20140718,55
CT,20140719,54
CT,20140720,36
CT,20140721,101
CT,20140722,157
CT,20140723,215
CT,20140724,123
CT,20140725,174
CT,20140726,26
CT,20140727,18
CT,20140728,55
CT,20140729,100
CT,20140730,36
CT,20140731,56
CU,20140701,261
CU,20140702,267
CU,20140703,225
CU,20140704,168
CU,20140705,200
CU,20140706,206
CU,20140707,402
CU,20140708,390
CU,20140709,298
CU,20140710,368
CU,20140711,539
CU,20140712,340
CU,20140713,254
CU,20140714,351
CU,20140715,236
CU,20140716,479
CU,20140717,310
CU,20140718,291
CU,20140719,122
CU,20140720,89
CU,20140721,250
CU,20140722,276
CU,20140723,284
